"","miRNA","Gene"
"1979","hsa-miR-30e-3p","MYC"
"1980","hsa-miR-320a","MYC"
"1981","hsa-miR-320b","MYC"
"1982","hsa-miR-323a-3p","MYC"
"1983","hsa-miR-324-3p","MYC"
"1984","hsa-miR-335-5p","MYC"
"1985","hsa-miR-33a-5p","MYC"
"1986","hsa-miR-33b-5p","MYC"
"1987","hsa-miR-34a-5p","MYC"
"1988","hsa-miR-34b-3p","MYC"
"1989","hsa-miR-34c-5p","MYC"
"1990","hsa-miR-373-3p","MYC"
"1991","hsa-miR-375","MYC"
"1992","hsa-miR-423-5p","MYC"
"1993","hsa-miR-429","MYC"
"1994","hsa-miR-449a","MYC"
"1995","hsa-miR-449c-5p","MYC"
"1996","hsa-miR-451a","MYC"
"1997","hsa-miR-455-3p","MYC"
"1998","hsa-miR-4647","MYC"
"1999","hsa-miR-487b-3p","MYC"
"2000","hsa-miR-494-3p","MYC"
"2001","hsa-miR-516a-5p","MYC"
"2002","hsa-miR-744-5p","MYC"
"2003","hsa-miR-7-5p","MYC"
"2004","hsa-miR-92a-1-5p","MYC"
"2005","hsa-miR-92a-3p","MYC"
"2006","hsa-miR-92b-3p","MYC"
"2007","hsa-miR-93-5p","MYC"
"2008","hsa-miR-940","MYC"
"2009","hsa-miR-98-5p","MYC"
"2010","hsa-miR-197-3p","MYH10"
"2011","hsa-miR-23a-3p","MYH10"
"2012","hsa-miR-26a-5p","MYH10"
"2013","hsa-miR-505-3p","MYH10"
"2014","hsa-miR-92b-3p","MYH10"
"2015","hsa-miR-122-5p","MYH11"
"2016","hsa-miR-128-1-5p","MYH11"
"2017","hsa-miR-128-2-5p","MYH11"
"2018","hsa-miR-1296-3p","MYH11"
"2019","hsa-miR-130a-3p","MYH11"
"2020","hsa-miR-130b-3p","MYH11"
"2021","hsa-miR-1322","MYH11"
"2022","hsa-miR-301a-3p","MYH11"
"2023","hsa-miR-30c-1-3p","MYH11"
"2024","hsa-miR-4488","MYH11"
"2025","hsa-miR-454-3p","MYH11"
"2026","hsa-miR-504-3p","MYH11"
"2027","hsa-miR-593-3p","MYH11"
"2028","hsa-miR-660-5p","MYH11"
"2029","hsa-miR-887-5p","MYH11"
"2030","hsa-miR-185-5p","MYH14"
"2031","hsa-miR-193b-3p","MYH14"
"2032","hsa-miR-412-3p","MYH14"
"2033","hsa-miR-5196-5p","MYH14"
"2034","hsa-miR-615-3p","MYH14"
"2035","hsa-let-7f-5p","MYH9"
"2036","hsa-miR-106a-5p","MYH9"
"2037","hsa-miR-106b-5p","MYH9"
"2038","hsa-miR-124-3p","MYH9"
"2039","hsa-miR-1296-5p","MYH9"
"2040","hsa-miR-1305","MYH9"
"2041","hsa-miR-149-5p","MYH9"
"2042","hsa-miR-150-5p","MYH9"
"2043","hsa-miR-17-5p","MYH9"
"2044","hsa-miR-1827","MYH9"
"2045","hsa-miR-193b-3p","MYH9"
"2046","hsa-miR-20a-5p","MYH9"
"2047","hsa-miR-20b-5p","MYH9"
"2048","hsa-miR-24-3p","MYH9"
"2049","hsa-miR-302a-3p","MYH9"
"2050","hsa-miR-302b-3p","MYH9"
"2051","hsa-miR-302c-3p","MYH9"
"2052","hsa-miR-302d-3p","MYH9"
"2053","hsa-miR-302e","MYH9"
"2054","hsa-miR-30c-1-3p","MYH9"
"2055","hsa-miR-324-3p","MYH9"
"2056","hsa-miR-331-3p","MYH9"
"2057","hsa-miR-372-3p","MYH9"
"2058","hsa-miR-373-3p","MYH9"
"2059","hsa-miR-4284","MYH9"
"2060","hsa-miR-450a-1-3p","MYH9"
"2061","hsa-miR-484","MYH9"
"2062","hsa-miR-490-3p","MYH9"
"2063","hsa-miR-512-3p","MYH9"
"2064","hsa-miR-5196-5p","MYH9"
"2065","hsa-miR-519d-3p","MYH9"
"2066","hsa-miR-520a-3p","MYH9"
"2067","hsa-miR-520b","MYH9"
"2068","hsa-miR-520c-3p","MYH9"
"2069","hsa-miR-520d-3p","MYH9"
"2070","hsa-miR-520e","MYH9"
"2071","hsa-miR-520g-3p","MYH9"
"2072","hsa-miR-520h","MYH9"
"2073","hsa-miR-665","MYH9"
"2074","hsa-miR-671-5p","MYH9"
"2075","hsa-miR-887-5p","MYH9"
"2076","hsa-miR-92a-3p","MYH9"
"2077","hsa-miR-93-5p","MYH9"
"2078","hsa-miR-940","MYH9"
"2079","hsa-miR-9-5p","MYH9"
"2080","hsa-miR-1275","MYL12A"
"2081","hsa-miR-133a-5p","MYL12A"
"2082","hsa-miR-140-3p","MYL12A"
"2083","hsa-miR-154-5p","MYL12A"
"2084","hsa-miR-4516","MYL12A"
"2085","hsa-miR-5001-5p","MYL12A"
"2086","hsa-miR-5010-5p","MYL12A"
"2087","hsa-miR-625-5p","MYL12A"
"2088","hsa-miR-1253","MYL12B"
"2089","hsa-miR-193b-3p","MYL12B"
"2090","hsa-miR-411-3p","MYL12B"
"2091","hsa-miR-582-3p","MYL12B"
"2092","hsa-miR-641","MYL12B"
"2093","hsa-miR-1915-3p","MYL9"
"2094","hsa-miR-3151-3p","MYL9"
"2095","hsa-miR-3179","MYL9"
"2096","hsa-miR-663a","MYL9"
"2097","hsa-miR-1272","MYLK"
"2098","hsa-miR-1301-3p","MYLK"
"2099","hsa-miR-146a-5p","MYLK"
"2100","hsa-miR-146b-5p","MYLK"
"2101","hsa-miR-155-5p","MYLK"
"2102","hsa-miR-181a-2-3p","MYLK"
"2103","hsa-miR-193b-3p","MYLK"
"2104","hsa-miR-490-5p","MYLK"
"2105","hsa-miR-587","MYLK"
"2106","hsa-miR-589-5p","MYLK"
"2107","hsa-miR-7-5p","MYLK"
"2108","hsa-miR-9-5p","MYLK"
"2109","hsa-miR-101-3p","NLK"
"2110","hsa-miR-1253","NLK"
"2111","hsa-miR-1285-5p","NLK"
"2112","hsa-miR-1304-3p","NLK"
"2113","hsa-miR-181a-5p","NLK"
"2114","hsa-miR-181b-5p","NLK"
"2115","hsa-miR-181c-5p","NLK"
"2116","hsa-miR-190a-3p","NLK"
"2117","hsa-miR-192-5p","NLK"
"2118","hsa-miR-199b-5p","NLK"
"2119","hsa-miR-215-5p","NLK"
"2120","hsa-miR-216a-5p","NLK"
"2121","hsa-miR-23a-3p","NLK"
"2122","hsa-miR-27a-3p","NLK"
"2123","hsa-miR-27b-3p","NLK"
"2124","hsa-miR-3158-3p","NLK"
"2125","hsa-miR-513a-5p","NLK"
"2126","hsa-miR-545-3p","NLK"
"2127","hsa-miR-574-5p","NLK"
"2128","hsa-miR-579-3p","NLK"
"2129","hsa-miR-664b-3p","NLK"
"2130","hsa-miR-92b-3p","NLK"
"2131","hsa-miR-944","NLK"
"2132","hsa-let-7a-5p","NRAS"
"2133","hsa-let-7b-5p","NRAS"
"2134","hsa-let-7c-5p","NRAS"
"2135","hsa-miR-1193","NRAS"
"2136","hsa-miR-124-3p","NRAS"
"2137","hsa-miR-1303","NRAS"
"2138","hsa-miR-145-5p","NRAS"
"2139","hsa-miR-148b-3p","NRAS"
"2140","hsa-miR-20a-5p","NRAS"
"2141","hsa-miR-2113","NRAS"
"2142","hsa-miR-214-3p","NRAS"
"2143","hsa-miR-218-5p","NRAS"
"2144","hsa-miR-219b-3p","NRAS"
"2145","hsa-miR-2278","NRAS"
"2146","hsa-miR-25-3p","NRAS"
"2147","hsa-miR-27a-3p","NRAS"
"2148","hsa-miR-27b-3p","NRAS"
"2149","hsa-miR-3190-3p","NRAS"
"2150","hsa-miR-32-5p","NRAS"
"2151","hsa-miR-3613-3p","NRAS"
"2152","hsa-miR-363-3p","NRAS"
"2153","hsa-miR-367-3p","NRAS"
"2154","hsa-miR-513a-5p","NRAS"
"2155","hsa-miR-518d-5p","NRAS"
"2156","hsa-miR-518e-5p","NRAS"
"2157","hsa-miR-519a-5p","NRAS"
"2158","hsa-miR-519b-5p","NRAS"
"2159","hsa-miR-519c-5p","NRAS"
"2160","hsa-miR-520c-5p","NRAS"
"2161","hsa-miR-522-5p","NRAS"
"2162","hsa-miR-523-5p","NRAS"
"2163","hsa-miR-526a","NRAS"
"2164","hsa-miR-543","NRAS"
"2165","hsa-miR-548b-3p","NRAS"
"2166","hsa-miR-642a-3p","NRAS"
"2167","hsa-miR-7-5p","NRAS"
"2168","hsa-miR-922","NRAS"
"2169","hsa-miR-92a-3p","NRAS"
"2170","hsa-miR-92b-3p","NRAS"
"2171","hsa-miR-944","NRAS"
"2172","hsa-miR-98-5p","NRAS"
"2173","hsa-let-7b-5p","OCLN"
"2174","hsa-let-7e-5p","OCLN"
"2175","hsa-miR-1295a","OCLN"
"2176","hsa-miR-132-3p","OCLN"
"2177","hsa-miR-212-3p","OCLN"
"2178","hsa-miR-216b-3p","OCLN"
"2179","hsa-miR-299-3p","OCLN"
"2180","hsa-miR-3190-3p","OCLN"
"2181","hsa-miR-329-3p","OCLN"
"2182","hsa-miR-335-5p","OCLN"
"2183","hsa-miR-340-5p","OCLN"
"2184","hsa-miR-362-3p","OCLN"
"2185","hsa-miR-548ah-5p","OCLN"
"2186","hsa-miR-576-3p","OCLN"
"2187","hsa-miR-603","OCLN"
"2188","hsa-let-7a-5p","PAK1"
"2189","hsa-let-7b-5p","PAK1"
"2190","hsa-miR-122-5p","PAK1"
"2191","hsa-miR-216a-5p","PAK1"
"2192","hsa-miR-221-3p","PAK1"
"2193","hsa-miR-26b-5p","PAK1"
"2194","hsa-miR-320a","PAK1"
"2195","hsa-miR-377-3p","PAK1"
"2196","hsa-miR-423-5p","PAK1"
"2197","hsa-miR-520d-5p","PAK1"
"2198","hsa-miR-7-5p","PAK1"
"2199","hsa-miR-1253","PAK2"
"2200","hsa-miR-1287-3p","PAK2"
"2201","hsa-miR-129-2-3p","PAK2"
"2202","hsa-miR-155-5p","PAK2"
"2203","hsa-miR-15a-5p","PAK2"
"2204","hsa-miR-15b-5p","PAK2"
"2205","hsa-miR-16-5p","PAK2"
"2206","hsa-miR-193b-3p","PAK2"
"2207","hsa-miR-195-5p","PAK2"
"2208","hsa-miR-200b-3p","PAK2"
"2209","hsa-miR-200c-3p","PAK2"
"2210","hsa-miR-218-5p","PAK2"
"2211","hsa-miR-219b-3p","PAK2"
"2212","hsa-miR-224-5p","PAK2"
"2213","hsa-miR-27a-3p","PAK2"
"2214","hsa-miR-27b-3p","PAK2"
"2215","hsa-miR-298","PAK2"
"2216","hsa-miR-302a-3p","PAK2"
"2217","hsa-miR-302b-3p","PAK2"
"2218","hsa-miR-302c-3p","PAK2"
"2219","hsa-miR-302d-3p","PAK2"
"2220","hsa-miR-302e","PAK2"
"2221","hsa-miR-302f","PAK2"
"2222","hsa-miR-345-3p","PAK2"
"2223","hsa-miR-369-3p","PAK2"
"2224","hsa-miR-372-3p","PAK2"
"2225","hsa-miR-373-3p","PAK2"
"2226","hsa-miR-424-5p","PAK2"
"2227","hsa-miR-429","PAK2"
"2228","hsa-miR-497-5p","PAK2"
"2229","hsa-miR-519a-3p","PAK2"
"2230","hsa-miR-519b-3p","PAK2"
"2231","hsa-miR-519c-3p","PAK2"
"2232","hsa-miR-520a-3p","PAK2"
"2233","hsa-miR-520b","PAK2"
"2234","hsa-miR-520c-3p","PAK2"
"2235","hsa-miR-520d-3p","PAK2"
"2236","hsa-miR-520e","PAK2"
"2237","hsa-miR-548e-5p","PAK2"
"2238","hsa-miR-580-3p","PAK2"
"2239","hsa-miR-595","PAK2"
"2240","hsa-miR-648","PAK2"
"2241","hsa-miR-922","PAK2"
"2242","hsa-miR-944","PAK2"
"2243","hsa-let-7c-5p","PAK4"
"2244","hsa-miR-1271-5p","PAK4"
"2245","hsa-miR-1285-3p","PAK4"
"2246","hsa-miR-145-5p","PAK4"
"2247","hsa-miR-183-5p","PAK4"
"2248","hsa-miR-216a-5p","PAK4"
"2249","hsa-miR-24-3p","PAK4"
"2250","hsa-miR-324-5p","PAK4"
"2251","hsa-miR-3613-3p","PAK4"
"2252","hsa-miR-3614-5p","PAK4"
"2253","hsa-miR-371a-5p","PAK4"
"2254","hsa-miR-371b-5p","PAK4"
"2255","hsa-miR-4284","PAK4"
"2256","hsa-miR-510-3p","PAK4"
"2257","hsa-miR-552-3p","PAK4"
"2258","hsa-miR-564","PAK4"
"2259","hsa-miR-579-3p","PAK4"
"2260","hsa-miR-612","PAK4"
"2261","hsa-miR-664b-3p","PAK4"
"2262","hsa-miR-744-5p","PAK4"
"2263","hsa-miR-885-3p","PAK4"
"2264","hsa-miR-96-5p","PAK4"
"2265","hsa-miR-106a-5p","PARD3"
"2266","hsa-miR-106b-5p","PARD3"
"2267","hsa-miR-1254","PARD3"
"2268","hsa-miR-150-5p","PARD3"
"2269","hsa-miR-17-5p","PARD3"
"2270","hsa-miR-20a-5p","PARD3"
"2271","hsa-miR-20b-5p","PARD3"
"2272","hsa-miR-218-5p","PARD3"
"2273","hsa-miR-302a-3p","PARD3"
"2274","hsa-miR-302b-3p","PARD3"
"2275","hsa-miR-302c-3p","PARD3"
"2276","hsa-miR-302d-3p","PARD3"
"2277","hsa-miR-302e","PARD3"
"2278","hsa-miR-372-3p","PARD3"
"2279","hsa-miR-373-3p","PARD3"
"2280","hsa-miR-483-3p","PARD3"
"2281","hsa-miR-5001-3p","PARD3"
"2282","hsa-miR-512-3p","PARD3"
"2283","hsa-miR-519d-3p","PARD3"
"2284","hsa-miR-520a-3p","PARD3"
"2285","hsa-miR-520b","PARD3"
"2286","hsa-miR-520c-3p","PARD3"
"2287","hsa-miR-520d-3p","PARD3"
"2288","hsa-miR-520e","PARD3"
"2289","hsa-miR-520g-3p","PARD3"
"2290","hsa-miR-520h","PARD3"
"2291","hsa-miR-629-5p","PARD3"
"2292","hsa-miR-660-3p","PARD3"
"2293","hsa-miR-661","PARD3"
"2294","hsa-miR-766-3p","PARD3"
"2295","hsa-miR-93-5p","PARD3"
"2296","hsa-miR-10b-5p","PDCD4"
"2297","hsa-miR-150-5p","PDCD4"
"2298","hsa-miR-155-5p","PDCD4"
"2299","hsa-miR-15a-5p","PDCD4"
"2300","hsa-miR-15b-5p","PDCD4"
"2301","hsa-miR-16-5p","PDCD4"
"2302","hsa-miR-182-5p","PDCD4"
"2303","hsa-miR-183-5p","PDCD4"
"2304","hsa-miR-195-5p","PDCD4"
"2305","hsa-miR-196a-5p","PDCD4"
"2306","hsa-miR-197-3p","PDCD4"
"2307","hsa-miR-1976","PDCD4"
"2308","hsa-miR-200a-3p","PDCD4"
"2309","hsa-miR-21-5p","PDCD4"
"2310","hsa-miR-218-5p","PDCD4"
"2311","hsa-miR-329-5p","PDCD4"
"2312","hsa-miR-335-5p","PDCD4"
"2313","hsa-miR-340-5p","PDCD4"
"2314","hsa-miR-499a-5p","PDCD4"
"2315","hsa-miR-520d-5p","PDCD4"
"2316","hsa-miR-548ah-3p","PDCD4"
"2317","hsa-miR-548j-3p","PDCD4"
"2318","hsa-miR-548m","PDCD4"
"2319","hsa-miR-562","PDCD4"
"2320","hsa-miR-590-5p","PDCD4"
"2321","hsa-let-7d-5p","PDGFA"
"2322","hsa-miR-221-3p","PDGFA"
"2323","hsa-miR-29b-3p","PDGFA"
"2324","hsa-miR-514a-3p","PDGFA"
"2325","hsa-miR-514b-3p","PDGFA"
"2326","hsa-miR-124-3p","PDGFC"
"2327","hsa-miR-29b-3p","PDGFC"
"2328","hsa-miR-375","PDGFC"
"2329","hsa-miR-615-3p","PDGFC"
"2330","hsa-miR-7-5p","PDGFC"
"2331","hsa-miR-145-5p","PDGFD"
"2332","hsa-miR-21-5p","PDGFD"
"2333","hsa-let-7b-5p","PDGFRA"
"2334","hsa-miR-105-5p","PDGFRA"
"2335","hsa-miR-129-5p","PDGFRA"
"2336","hsa-miR-130a-3p","PDGFRA"
"2337","hsa-miR-130b-3p","PDGFRA"
"2338","hsa-miR-139-3p","PDGFRA"
"2339","hsa-miR-140-5p","PDGFRA"
"2340","hsa-miR-143-3p","PDGFRA"
"2341","hsa-miR-146b-5p","PDGFRA"
"2342","hsa-miR-181a-5p","PDGFRA"
"2343","hsa-miR-1827","PDGFRA"
"2344","hsa-miR-1910-3p","PDGFRA"
"2345","hsa-miR-218-5p","PDGFRA"
"2346","hsa-miR-26b-5p","PDGFRA"
"2347","hsa-miR-298","PDGFRA"
"2348","hsa-miR-29b-3p","PDGFRA"
"2349","hsa-miR-34a-5p","PDGFRA"
"2350","hsa-miR-34c-5p","PDGFRA"
"2351","hsa-miR-455-3p","PDGFRA"
"2352","hsa-miR-483-5p","PDGFRA"
"2353","hsa-miR-544a","PDGFRA"
"2354","hsa-miR-548ah-3p","PDGFRA"
"2355","hsa-miR-548j-3p","PDGFRA"
"2356","hsa-miR-628-5p","PDGFRA"
"2357","hsa-miR-630","PDGFRA"
"2358","hsa-miR-650","PDGFRA"
"2359","hsa-miR-6511a-5p","PDGFRA"
"2360","hsa-miR-224-5p","PDGFRB"
"2361","hsa-miR-29a-3p","PDGFRB"
"2362","hsa-miR-29b-3p","PDGFRB"
"2363","hsa-miR-29c-3p","PDGFRB"
"2364","hsa-miR-30b-5p","PDGFRB"
"2365","hsa-miR-34a-5p","PDGFRB"
"2366","hsa-miR-34c-5p","PDGFRB"
"2367","hsa-miR-767-5p","PDGFRB"
"2368","hsa-miR-124-3p","PIK3CA"
"2369","hsa-miR-139-5p","PIK3CA"
"2370","hsa-miR-148b-3p","PIK3CA"
"2371","hsa-miR-155-5p","PIK3CA"
"2372","hsa-miR-17-5p","PIK3CA"
"2373","hsa-miR-335-5p","PIK3CA"
"2374","hsa-miR-375","PIK3CA"
"2375","hsa-miR-7-5p","PIK3CB"
"2376","hsa-miR-10b-5p","PIK3CD"
"2377","hsa-miR-125b-5p","PIK3CD"
"2378","hsa-miR-30a-5p","PIK3CD"
"2379","hsa-miR-663a","PIK3CD"
"2380","hsa-miR-7-5p","PIK3CD"
"2381","hsa-miR-10a-5p","PIK3CG"
"2382","hsa-miR-126-3p","PIK3CG"
"2383","hsa-miR-142-3p","PIK3CG"
"2384","hsa-miR-148b-3p","PIK3CG"
"2385","hsa-miR-190a-3p","PIK3CG"
"2386","hsa-miR-26b-5p","PIK3CG"
"2387","hsa-miR-27a-3p","PIK3CG"
"2388","hsa-miR-29b-3p","PIK3CG"
"2389","hsa-miR-329-3p","PIK3CG"
"2390","hsa-miR-362-3p","PIK3CG"
"2391","hsa-miR-410-3p","PIK3CG"
"2392","hsa-miR-548a-3p","PIK3CG"
"2393","hsa-miR-548ar-3p","PIK3CG"
"2394","hsa-miR-548e-3p","PIK3CG"
"2395","hsa-miR-548g-3p","PIK3CG"
"2396","hsa-miR-603","PIK3CG"
"2397","hsa-miR-7-5p","PIK3CG"
"2398","hsa-let-7a-5p","PIK3R1"
"2399","hsa-miR-103a-3p","PIK3R1"
"2400","hsa-miR-107","PIK3R1"
"2401","hsa-miR-1285-3p","PIK3R1"
"2402","hsa-miR-155-5p","PIK3R1"
"2403","hsa-miR-15a-5p","PIK3R1"
"2404","hsa-miR-15b-5p","PIK3R1"
"2405","hsa-miR-16-5p","PIK3R1"
"2406","hsa-miR-190a-3p","PIK3R1"
"2407","hsa-miR-195-5p","PIK3R1"
"2408","hsa-miR-21-5p","PIK3R1"
"2409","hsa-miR-221-3p","PIK3R1"
"2410","hsa-miR-29a-3p","PIK3R1"
"2411","hsa-miR-29b-3p","PIK3R1"
"2412","hsa-miR-329-3p","PIK3R1"
"2413","hsa-miR-362-3p","PIK3R1"
"2414","hsa-miR-376a-3p","PIK3R1"
"2415","hsa-miR-424-5p","PIK3R1"
"2416","hsa-miR-448","PIK3R1"
"2417","hsa-miR-4524a-5p","PIK3R1"
"2418","hsa-miR-455-5p","PIK3R1"
"2419","hsa-miR-497-5p","PIK3R1"
"2420","hsa-miR-503-5p","PIK3R1"
"2421","hsa-miR-603","PIK3R1"
"2422","hsa-miR-612","PIK3R1"
"2423","hsa-miR-6721-5p","PIK3R1"
"2424","hsa-miR-126-3p","PIK3R2"
"2425","hsa-miR-133a-3p","PIK3R2"
"2426","hsa-miR-296-3p","PIK3R2"
"2427","hsa-miR-30c-5p","PIK3R2"
"2428","hsa-miR-93-5p","PIK3R2"
"2429","hsa-miR-19a-3p","PIK3R3"
"2430","hsa-miR-19b-3p","PIK3R3"
"2431","hsa-miR-331-3p","PIK3R3"
"2432","hsa-miR-346","PIK3R3"
"2433","hsa-miR-7-5p","PIK3R3"
"2434","hsa-miR-125b-5p","PPP1CA"
"2435","hsa-miR-17-5p","PPP1CA"
"2436","hsa-miR-192-5p","PPP1CA"
"2437","hsa-miR-215-5p","PPP1CA"
"2438","hsa-miR-744-5p","PPP1CA"
"2439","hsa-miR-769-5p","PPP1CA"
"2440","hsa-miR-100-5p","PPP1CB"
"2441","hsa-miR-1248","PPP1CB"
"2442","hsa-miR-15b-5p","PPP1CB"
"2443","hsa-miR-18a-5p","PPP1CB"
"2444","hsa-miR-192-5p","PPP1CB"
"2445","hsa-miR-2117","PPP1CB"
"2446","hsa-miR-215-5p","PPP1CB"
"2447","hsa-miR-23b-3p","PPP1CB"
"2448","hsa-miR-323a-3p","PPP1CB"
"2449","hsa-miR-505-3p","PPP1CB"
"2450","hsa-miR-542-5p","PPP1CB"
"2451","hsa-miR-548aa","PPP1CB"
"2452","hsa-miR-548t-3p","PPP1CB"
"2453","hsa-miR-607","PPP1CB"
"2454","hsa-miR-615-3p","PPP1CB"
"2455","hsa-miR-92b-3p","PPP1CB"
"2456","hsa-miR-99a-5p","PPP1CB"
"2457","hsa-miR-99b-5p","PPP1CB"
"2458","hsa-miR-101-3p","PPP1CC"
"2459","hsa-miR-1253","PPP1CC"
"2460","hsa-miR-154-5p","PPP1CC"
"2461","hsa-miR-15b-5p","PPP1CC"
"2462","hsa-miR-185-5p","PPP1CC"
"2463","hsa-miR-188-5p","PPP1CC"
"2464","hsa-miR-190a-3p","PPP1CC"
"2465","hsa-miR-1976","PPP1CC"
"2466","hsa-miR-204-5p","PPP1CC"
"2467","hsa-miR-211-5p","PPP1CC"
"2468","hsa-miR-218-5p","PPP1CC"
"2469","hsa-miR-26a-5p","PPP1CC"
"2470","hsa-miR-26b-5p","PPP1CC"
"2471","hsa-miR-302a-5p","PPP1CC"
"2472","hsa-miR-30a-5p","PPP1CC"
"2473","hsa-miR-323a-3p","PPP1CC"
"2474","hsa-miR-3916","PPP1CC"
"2475","hsa-miR-493-3p","PPP1CC"
"2476","hsa-miR-494-3p","PPP1CC"
"2477","hsa-miR-510-3p","PPP1CC"
"2478","hsa-miR-548e-5p","PPP1CC"
"2479","hsa-miR-582-5p","PPP1CC"
"2480","hsa-miR-92a-3p","PPP1CC"
"2481","hsa-miR-940","PPP1CC"
"2482","hsa-miR-10a-5p","PPP1R12A"
"2483","hsa-miR-1271-5p","PPP1R12A"
"2484","hsa-miR-182-5p","PPP1R12A"
"2485","hsa-miR-192-5p","PPP1R12A"
"2486","hsa-miR-215-5p","PPP1R12A"
"2487","hsa-miR-30a-5p","PPP1R12A"
"2488","hsa-miR-30b-5p","PPP1R12A"
"2489","hsa-miR-30c-5p","PPP1R12A"
"2490","hsa-miR-30d-5p","PPP1R12A"
"2491","hsa-miR-30e-5p","PPP1R12A"
"2492","hsa-miR-448","PPP1R12A"
"2493","hsa-miR-518d-5p","PPP1R12A"
"2494","hsa-miR-518e-5p","PPP1R12A"
"2495","hsa-miR-519a-5p","PPP1R12A"
"2496","hsa-miR-519b-5p","PPP1R12A"
"2497","hsa-miR-519c-5p","PPP1R12A"
"2498","hsa-miR-520c-5p","PPP1R12A"
"2499","hsa-miR-522-5p","PPP1R12A"
"2500","hsa-miR-523-5p","PPP1R12A"
"2501","hsa-miR-526a","PPP1R12A"
"2502","hsa-miR-96-5p","PPP1R12A"
"2503","hsa-miR-103a-3p","PPP2CA"
"2504","hsa-miR-107","PPP2CA"
"2505","hsa-miR-125a-5p","PPP2CA"
"2506","hsa-miR-125b-5p","PPP2CA"
"2507","hsa-miR-188-5p","PPP2CA"
"2508","hsa-miR-197-3p","PPP2CA"
"2509","hsa-miR-345-3p","PPP2CA"
"2510","hsa-miR-518d-5p","PPP2CA"
"2511","hsa-miR-518e-5p","PPP2CA"
"2512","hsa-miR-519a-5p","PPP2CA"
"2513","hsa-miR-519b-5p","PPP2CA"
"2514","hsa-miR-519c-5p","PPP2CA"
"2515","hsa-miR-520c-5p","PPP2CA"
"2516","hsa-miR-522-3p","PPP2CA"
"2517","hsa-miR-522-5p","PPP2CA"
"2518","hsa-miR-523-5p","PPP2CA"
"2519","hsa-miR-526a","PPP2CA"
"2520","hsa-miR-545-3p","PPP2CA"
"2521","hsa-miR-548av-3p","PPP2CA"
"2522","hsa-miR-548g-3p","PPP2CA"
"2523","hsa-miR-553","PPP2CA"
"2524","hsa-miR-584-5p","PPP2CA"
"2525","hsa-miR-630","PPP2CA"
"2526","hsa-miR-671-5p","PPP2CA"
"2527","hsa-miR-758-5p","PPP2CA"
"2528","hsa-miR-889-3p","PPP2CA"
"2529","hsa-miR-92a-1-5p","PPP2CA"
"2530","hsa-miR-150-5p","PPP2CB"
"2531","hsa-miR-183-5p","PPP2CB"
"2532","hsa-miR-216b-5p","PPP2CB"
"2533","hsa-miR-218-5p","PPP2CB"
"2534","hsa-miR-421","PPP2CB"
"2535","hsa-miR-548b-3p","PPP2CB"
"2536","hsa-miR-549a","PPP2CB"
"2537","hsa-let-7e-5p","PPP2R1A"
"2538","hsa-miR-106a-5p","PPP2R1A"
"2539","hsa-miR-1279","PPP2R1A"
"2540","hsa-miR-16-5p","PPP2R1A"
"2541","hsa-miR-17-5p","PPP2R1A"
"2542","hsa-miR-20a-5p","PPP2R1A"
"2543","hsa-miR-222-3p","PPP2R1A"
"2544","hsa-miR-590-3p","PPP2R1A"
"2545","hsa-miR-92a-3p","PPP2R1A"
"2546","hsa-miR-941","PPP2R1A"
"2547","hsa-miR-124-3p","PPP2R1B"
"2548","hsa-miR-147a","PPP2R1B"
"2549","hsa-miR-16-5p","PPP2R1B"
"2550","hsa-miR-185-5p","PPP2R1B"
"2551","hsa-miR-206","PPP2R1B"
"2552","hsa-miR-208a-5p","PPP2R1B"
"2553","hsa-miR-208b-5p","PPP2R1B"
"2554","hsa-miR-30a-5p","PPP2R1B"
"2555","hsa-miR-30b-5p","PPP2R1B"
"2556","hsa-miR-30c-5p","PPP2R1B"
"2557","hsa-miR-30d-5p","PPP2R1B"
"2558","hsa-miR-30e-5p","PPP2R1B"
"2559","hsa-miR-346","PPP2R1B"
"2560","hsa-miR-380-3p","PPP2R1B"
"2561","hsa-miR-411-3p","PPP2R1B"
"2562","hsa-miR-423-3p","PPP2R1B"
"2563","hsa-miR-5010-3p","PPP2R1B"
"2564","hsa-miR-574-5p","PPP2R1B"
"2565","hsa-miR-576-5p","PPP2R1B"
"2566","hsa-miR-579-3p","PPP2R1B"
"2567","hsa-miR-613","PPP2R1B"
"2568","hsa-miR-664b-3p","PPP2R1B"
"2569","hsa-miR-7-5p","PPP2R1B"
"2570","hsa-let-7a-5p","PPP2R2A"
"2571","hsa-let-7b-5p","PPP2R2A"
"2572","hsa-let-7c-5p","PPP2R2A"
"2573","hsa-let-7d-5p","PPP2R2A"
"2574","hsa-let-7e-5p","PPP2R2A"
"2575","hsa-let-7f-5p","PPP2R2A"
"2576","hsa-let-7g-5p","PPP2R2A"
"2577","hsa-let-7i-5p","PPP2R2A"
"2578","hsa-miR-101-3p","PPP2R2A"
"2579","hsa-miR-1185-5p","PPP2R2A"
"2580","hsa-miR-144-3p","PPP2R2A"
"2581","hsa-miR-154-5p","PPP2R2A"
"2582","hsa-miR-155-5p","PPP2R2A"
"2583","hsa-miR-218-5p","PPP2R2A"
"2584","hsa-miR-222-3p","PPP2R2A"
"2585","hsa-miR-26b-5p","PPP2R2A"
"2586","hsa-miR-30a-5p","PPP2R2A"
