,types,deg,bet,clos,eig
hsa-miR-374a-5p,FALSE,9,669.2149883,0.000188041,0.133072551
hsa-miR-548a-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548ak,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548am-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548ar-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548c-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548d-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548h-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548i,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548j-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548k,FALSE,3,64.70158052,0.00018044,0.072035056
hsa-miR-548o-5p,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-548y,FALSE,3,21.10462587,0.000176616,0.042651754
hsa-miR-6511a-3p,FALSE,2,43.51378191,0.0001755,0.023605869
hsa-miR-769-5p,FALSE,6,662.9944485,0.000181094,0.063451823
hsa-miR-92b-3p,FALSE,14,2021.305607,0.000194401,0.216935667
hsa-miR-96-5p,FALSE,11,1443.581575,0.000196386,0.249368713
hsa-miR-1228-3p,FALSE,6,982.7818651,0.000180701,0.071322264
hsa-miR-125a-5p,FALSE,11,1709.266461,0.000192901,0.169821999
hsa-miR-126-3p,FALSE,10,726.1021971,0.000186986,0.129420072
hsa-miR-26b-5p,FALSE,27,7626.491799,0.00020008,0.360800143
hsa-miR-30a-5p,FALSE,21,3167.920307,0.000196928,0.215879516
hsa-miR-30b-5p,FALSE,11,770.7301466,0.000185322,0.097811488
hsa-miR-30c-5p,FALSE,16,2742.705557,0.000194175,0.175335518
hsa-miR-30d-5p,FALSE,11,907.0642548,0.000189609,0.132734395
hsa-miR-30e-5p,FALSE,9,415.5518436,0.000182615,0.066413085
hsa-miR-329-3p,FALSE,13,1276.092075,0.000192308,0.200195043
hsa-miR-362-3p,FALSE,13,1276.092075,0.000192308,0.200195043
hsa-miR-373-3p,FALSE,10,650.3592802,0.000193274,0.276149457
hsa-miR-543,FALSE,5,371.3540122,0.000180505,0.05783498
hsa-miR-603,FALSE,13,1460.589704,0.000195008,0.278970264
hsa-miR-105-5p,FALSE,6,704.994167,0.000181422,0.065084938
hsa-miR-125b-5p,FALSE,14,3139.388704,0.000192827,0.165806848
hsa-miR-133b,FALSE,8,552.499466,0.00018615,0.104594719
hsa-miR-143-3p,FALSE,12,1409.912124,0.000191498,0.177223069
hsa-miR-155-5p,FALSE,36,10484.60294,0.000204165,0.403172267
hsa-miR-188-5p,FALSE,5,320.3787236,0.000178827,0.036850272
hsa-miR-199a-3p,FALSE,6,349.8749633,0.000183824,0.088696418
hsa-miR-302a-3p,FALSE,11,1256.437471,0.000196155,0.312049619
hsa-miR-302b-3p,FALSE,11,1006.761131,0.000193274,0.261847304
hsa-miR-302c-3p,FALSE,10,898.5525902,0.000194099,0.293091281
hsa-miR-302d-3p,FALSE,9,679.0455158,0.000192234,0.244749642
hsa-miR-330-5p,FALSE,5,1061.140151,0.000185185,0.105836914
hsa-miR-365a-3p,FALSE,5,319.4728296,0.00018546,0.110904757
hsa-miR-365b-3p,FALSE,2,52.49035958,0.000174703,0.018522133
hsa-miR-378b,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-378c,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-378d,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-378e,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-378f,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-378h,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-378i,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-422a,FALSE,2,16.45974918,0.00017188,0.013369273
hsa-miR-451a,FALSE,3,90.34834998,0.000180832,0.073963181
hsa-miR-496,FALSE,3,68.1681881,0.000175009,0.023075348
hsa-miR-518c-5p,FALSE,3,139.9727983,0.000184706,0.107958104
hsa-miR-6503-3p,FALSE,1,0,0.000168919,0.010420002
hsa-miR-654-3p,FALSE,2,25.49792906,0.000172473,0.021077729
hsa-miR-708-5p,FALSE,5,201.1621106,0.000183352,0.104073495
hsa-let-7g-5p,FALSE,12,1169.695129,0.000195008,0.25009766
hsa-miR-1296-5p,FALSE,3,42.73373548,0.000179856,0.061969819
hsa-miR-137,FALSE,6,193.3346619,0.000176056,0.031405095
hsa-miR-151a-5p,FALSE,3,31.84104985,0.000178763,0.066466689
hsa-miR-151b,FALSE,1,0,0.000167001,0.007397084
hsa-miR-184,FALSE,4,139.7239443,0.000179662,0.072163001
hsa-miR-21-5p,FALSE,17,2883.22678,0.000194326,0.25952033
hsa-miR-29a-3p,FALSE,12,1113.868491,0.000192976,0.227571301
hsa-miR-29b-3p,FALSE,17,2181.595901,0.000190985,0.202457473
hsa-miR-29c-3p,FALSE,10,514.2317655,0.000186289,0.150039572
hsa-miR-423-3p,FALSE,6,540.4545893,0.000183217,0.084996347
hsa-miR-612,FALSE,5,312.9355909,0.000179019,0.049946515
hsa-miR-122-5p,FALSE,11,1652.773853,0.000191058,0.145022101
hsa-miR-146b-5p,FALSE,5,376.3918058,0.000181686,0.066273801
hsa-miR-15a-5p,FALSE,23,3269.482004,0.000200401,0.420768393
hsa-miR-15b-5p,FALSE,28,5687.89651,0.000204165,0.483729802
